timestamp,method_name,selection_strategy,evolution_type,dataset_name,current_sequence,seed,model_name,n_val_groups,n_test_groups,n_trials,train_error,val_error,test_error
2026-04-17 13:30:26.225456,MeanMask,OURS,wavelength,simulation,"[690, 735, 850]",4,mlp,1,1,30,0.2865205900112502,0.28754022543577906,0.28792401379835375
2026-04-17 13:30:26.225456,MeanMask,OURS,wavelength,simulation,"[690, 735, 850, 910]",4,mlp,1,1,30,0.24568312084353408,0.24516815702457737,0.24495366691612985
2026-04-17 13:30:26.225456,MeanMask,OURS,wavelength,simulation,"[690, 735, 850, 910, 810]",4,mlp,1,1,30,0.033490546826216994,0.03397841567048401,0.03463402394721456
2026-04-17 13:30:26.225456,MeanMask,OURS,wavelength,simulation,[690],7,mlp,1,1,30,0.1978386880953851,0.19708559515698212,0.1974242753049024
2026-04-17 13:30:26.225456,MeanMask,OURS,wavelength,simulation,"[690, 735]",7,mlp,1,1,30,0.2290745493094852,0.22945701416801603,0.22923491326338308
2026-04-17 13:30:26.225456,MeanMask,OURS,wavelength,simulation,"[690, 735, 850]",7,mlp,1,1,30,0.21958673826121156,0.2189602978220938,0.219239601056476
2026-04-17 13:30:26.225456,MeanMask,OURS,wavelength,simulation,"[690, 735, 850, 910]",7,mlp,1,1,30,0.20729459721329319,0.20646843520927002,0.20691517404956417
2026-04-17 13:30:26.225456,MeanMask,OURS,wavelength,simulation,"[690, 735, 850, 910, 810]",7,mlp,1,1,30,0.03553846954739817,0.03576758750222511,0.03539638224432171
2026-04-17 13:30:26.225456,MeanMask,OURS,wavelength,simulation,[690],9,mlp,1,1,30,0.3695462032453769,0.36989035628000155,0.370204450886579
2026-04-17 13:30:26.225456,MeanMask,OURS,wavelength,simulation,"[690, 735]",9,mlp,1,1,30,0.49881010024395706,0.49896055480007934,0.499116619543488
2026-04-17 13:30:26.225456,MeanMask,OURS,wavelength,simulation,"[690, 735, 850]",9,mlp,1,1,30,0.4004287812043753,0.4008393639690959,0.4012459076895022
2026-04-17 13:30:26.225456,MeanMask,OURS,wavelength,simulation,"[690, 735, 850, 910]",9,mlp,1,1,30,0.25719529267104113,0.2574258292724975,0.257647236121821
2026-04-17 13:30:26.225456,MeanMask,OURS,wavelength,simulation,"[690, 735, 850, 910, 810]",9,mlp,1,1,30,0.034219857647923034,0.034949515127309885,0.03591990183338789
2026-04-17 13:30:26.359961,MeanMask,SAGE,detector_distance,simulation,[10],4,mlp,1,1,30,0.12602345187508276,0.12590489039409636,0.12585891295117116
2026-04-17 13:30:26.359961,MeanMask,SAGE,detector_distance,simulation,"[10, 90]",4,mlp,1,1,30,0.21188458790414966,0.21192330348833027,0.2119390934322474
